Start epoch 0/20				
--------------------				
Epoch: [8][650/695]	Loss 2.6737e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.30	IoU   0.30	AP50   0.34	
Start epoch 9/20				
--------------------				
Epoch: [9][  0/695]	Loss 2.5398e+00	Acc@1   0.25	IoU   0.37	AP50   0.42
Epoch: [9][ 50/695]	Loss 2.6597e+00	Acc@1   0.37	IoU   0.37	AP50   0.44
Epoch: [9][100/695]	Loss 2.6501e+00	Acc@1   0.40	IoU   0.40	AP50   0.47
Epoch: [9][150/695]	Loss 2.6534e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [9][200/695]	Loss 2.6582e+00	Acc@1   0.41	IoU   0.40	AP50   0.46
Epoch: [9][250/695]	Loss 2.6668e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [9][300/695]	Loss 2.6672e+00	Acc@1   0.41	IoU   0.40	AP50   0.47
Epoch: [9][350/695]	Loss 2.6685e+00	Acc@1   0.40	IoU   0.40	AP50   0.47
Epoch: [9][400/695]	Loss 2.6700e+00	Acc@1   0.41	IoU   0.40	AP50   0.47
Epoch: [9][450/695]	Loss 2.6688e+00	Acc@1   0.41	IoU   0.40	AP50   0.47
Epoch: [9][500/695]	Loss 2.6716e+00	Acc@1   0.40	IoU   0.40	AP50   0.47
Epoch: [9][550/695]	Loss 2.6736e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [9][600/695]	Loss 2.6741e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [9][650/695]	Loss 2.6744e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.29	IoU   0.30	AP50   0.34	
Start epoch 10/20				
--------------------				
Epoch: [10][  0/695]	Loss 2.7464e+00	Acc@1   0.27	IoU   0.27	AP50   0.25
Epoch: [10][ 50/695]	Loss 2.6624e+00	Acc@1   0.41	IoU   0.40	AP50   0.47
Epoch: [10][100/695]	Loss 2.6533e+00	Acc@1   0.41	IoU   0.40	AP50   0.47
Epoch: [10][150/695]	Loss 2.6678e+00	Acc@1   0.40	IoU   0.40	AP50   0.47
Epoch: [10][200/695]	Loss 2.6685e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [10][250/695]	Loss 2.6713e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [10][300/695]	Loss 2.6744e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [10][350/695]	Loss 2.6756e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [10][400/695]	Loss 2.6773e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [10][450/695]	Loss 2.6736e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [10][500/695]	Loss 2.6709e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [10][550/695]	Loss 2.6689e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [10][600/695]	Loss 2.6705e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [10][650/695]	Loss 2.6704e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.30	IoU   0.30	AP50   0.33	
Start epoch 11/20				
--------------------				
Epoch: [11][  0/695]	Loss 2.4813e+00	Acc@1   0.17	IoU   0.31	AP50   0.33
Epoch: [11][ 50/695]	Loss 2.6377e+00	Acc@1   0.38	IoU   0.39	AP50   0.45
Epoch: [11][100/695]	Loss 2.6566e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [11][150/695]	Loss 2.6652e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [11][200/695]	Loss 2.6617e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [11][250/695]	Loss 2.6627e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [11][300/695]	Loss 2.6653e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
