                    
Epoch: [8][200/695] Loss 2.5132e+00 Acc@1  0.45 IoU  0.44 AP50  0.52						
Epoch: [8][250/695] Loss 2.5145e+00 Acc@1  0.45 IoU  0.44 AP50  0.51						
Epoch: [8][300/695] Loss 2.5132e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [8][350/695] Loss 2.5119e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [8][400/695] Loss 2.5110e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [8][450/695] Loss 2.5068e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [8][500/695] Loss 2.5066e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [8][550/695] Loss 2.5070e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [8][600/695] Loss 2.5094e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [8][650/695] Loss 2.5100e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
                    
Test: [ 0/97] Acc@1  0.50 IoU  0.48 AP50  0.60						
Test: [50/97] Acc@1  0.31 IoU  0.34 AP50  0.40						
                    
Epoch: [9][ 0/695] Loss 2.4619e+00 Acc@1  0.58 IoU  0.49 AP50  0.58						
Epoch: [9][ 50/695] Loss 2.4892e+00 Acc@1  0.45 IoU  0.44 AP50  0.52						
Epoch: [9][100/695] Loss 2.4928e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [9][150/695] Loss 2.4906e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [9][200/695] Loss 2.4961e+00 Acc@1  0.45 IoU  0.44 AP50  0.52						
Epoch: [9][250/695] Loss 2.5023e+00 Acc@1  0.45 IoU  0.44 AP50  0.51						
Epoch: [9][300/695] Loss 2.5001e+00 Acc@1  0.45 IoU  0.44 AP50  0.52						
Epoch: [9][350/695] Loss 2.5029e+00 Acc@1  0.45 IoU  0.44 AP50  0.52						
Epoch: [9][400/695] Loss 2.4993e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [9][450/695] Loss 2.5021e+00 Acc@1  0.45 IoU  0.44 AP50  0.52						
Epoch: [9][500/695] Loss 2.5032e+00 Acc@1  0.45 IoU  0.44 AP50  0.51						
Epoch: [9][550/695] Loss 2.5050e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [9][600/695] Loss 2.5053e+00 Acc@1  0.45 IoU  0.44 AP50  0.51						
Epoch: [9][650/695] Loss 2.5049e+00 Acc@1  0.45 IoU  0.44 AP50  0.51						
                    
Test: [ 0/97] Acc@1  0.50 IoU  0.48 AP50  0.60						
Test: [50/97] Acc@1  0.31 IoU  0.34 AP50  0.40						
                    
Epoch: [10][ 0/695] Loss 2.8940e+00 Acc@1  0.42 IoU  0.32 AP50  0.42						
Epoch: [10][ 50/695] Loss 2.5228e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [10][100/695] Loss 2.5150e+00 Acc@1  0.47 IoU  0.45 AP50  0.52						
Epoch: [10][150/695] Loss 2.5086e+00 Acc@1  0.47 IoU  0.44 AP50  0.53						
Epoch: [10][200/695] Loss 2.5048e+00 Acc@1  0.47 IoU  0.44 AP50  0.53						
Epoch: [10][250/695] Loss 2.5033e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [10][300/695] Loss 2.5020e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [10][350/695] Loss 2.5021e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [10][400/695] Loss 2.4995e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [10][450/695] Loss 2.5033e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [10][500/695] Loss 2.5024e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [10][550/695] Loss 2.5010e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
